itemset,Support
"(260, 296, 589, 593, 2858)",59
"(318, 1196, 4886)",59
"(592, 593, 2762)",59
"(260, 592, 2762)",59
"(592, 1196, 2762)",59
"(318, 1136, 1265)",59
"(356, 1196, 2571, 4886)",59
"(1, 260, 1196, 4886)",59
"(47, 2571, 6377)",59
"(32, 318, 589, 608)",59
"(32, 589, 608, 2571)",59
"(110, 589, 1270)",59
"(110, 1196, 1270, 2571)",59
"(110, 1210, 1270, 2571)",59
"(260, 1210, 1240, 2571, 2858)",59
"(260, 589, 1210, 1240, 2858)",59
"(32, 608, 1196, 2571)",59
"(356, 1196, 2571, 6377)",59
"(260, 1196, 2571, 6377)",59
"(110, 1210, 1291, 2571)",59
"(110, 356, 1210, 1291)",59
"(47, 260, 1210, 2762)",59
"(47, 1196, 1210, 2762)",59
"(1210, 2571, 2762, 2858)",59
"(356, 608, 1196, 1265)",59
"(260, 608, 1196, 1265, 2571)",59
"(260, 356, 593, 1196, 1210, 2858)",59
"(260, 296, 356, 1196, 1210, 2571, 2858)",59
"(296, 1210, 1240, 2858)",59
"(110, 260, 1214)",59
"(47, 1200)",59
"(110, 608, 1196)",59
"(589, 592, 1240, 2571)",59
"(592, 1196, 1198, 1240)",59
"(47, 50, 1198, 2571)",59
"(1, 608, 1265)",59
"(356, 1210, 2571, 4886)",59
"(1136, 1221)",59
"(858, 1136, 1221)",59
"(110, 1036, 1210)",59
"(32, 296, 608, 1196)",59
"(260, 1196, 1210, 1240, 2571, 2858)",59
"(260, 589, 1196, 1210, 1240, 2858)",59
"(1198, 2355)",59
"(1210, 2355)",59
"(2355, 2571)",59
"(260, 592, 1196, 1210, 1240)",59
"(110, 1210, 2571, 2762)",59
"(110, 260, 1210, 2762)",59
"(110, 589, 1210, 2762)",59
"(110, 1196, 1210, 2762)",59
"(110, 356, 2571, 4226)",59
"(110, 593, 608)",59
"(260, 296, 318, 608, 858)",59
"(260, 589, 1196, 1210, 1291, 2115)",59
"(1, 1196, 1210, 1291, 2115)",59
"(1, 260, 1196, 1210, 1291, 2115)",59
"(1, 260, 1196, 1210, 2571, 2762)",59
"(260, 593, 608, 1265)",59
"(260, 1196, 44191)",59
"(589, 1196, 1198, 1200, 2571)",59
"(260, 589, 1196, 1198, 1200, 2571)",59
"(47, 589, 1196, 1198)",59
"(47, 50, 296, 1198)",59
"(356, 68157)",59
"(260, 589, 593, 1196, 1210, 2762)",59
"(260, 356, 4306, 4886)",59
"(260, 296, 593, 608, 858)",59
"(318, 608, 858, 1196)",59
"(593, 608, 858, 1196)",59
"(356, 608, 858, 1196)",59
"(356, 608, 858, 2571)",59
"(110, 260, 1196, 2762)",59
"(110, 260, 858, 1196, 1210, 2571)",59
"(110, 296, 356, 2762)",59
"(47, 50, 260, 1198)",59
"(260, 592, 1210, 1240)",59
"(592, 1196, 1210, 1240)",59
"(260, 356, 2571, 6377)",59
"(260, 318, 608, 858, 1196)",59
"(260, 593, 608, 858, 1196)",59
"(260, 356, 608, 858, 1196)",59
"(50, 593, 608, 858)",59
"(260, 1196, 1291, 2571, 2716)",59
"(110, 260, 858, 1210, 2571)",59
"(110, 858, 1196, 1210, 2571)",59
"(296, 318, 356, 6377)",59
"(50, 296, 1196, 1210, 2858)",59
"(1198, 4306, 4886)",59
"(1210, 2571, 4306, 4886)",59
"(1, 260, 589, 1196, 1210, 2762)",59
"(608, 1089, 1136)",59
"(1, 260, 1291, 2716)",59
"(47, 260, 593, 1196, 1198)",59
"(260, 608, 858, 1196, 1198)",59
"(2571, 4963, 5445)",59
"(47, 296, 608, 858)",59
"(260, 318, 1196, 1210, 2571, 2762)",59
"(260, 296, 356, 1196, 1210, 2762)",59
"(260, 1089, 1136, 1196)",59
"(4886, 58559)",59
"(2959, 4886)",59
"(1197, 4886)",59
"(1291, 4886)",59
"(1270, 2571, 4886)",59
"(50, 260, 1210, 2571, 2858)",59
"(356, 1198, 1291, 2716)",59
"(110, 260, 356, 858, 2571)",59
"(47, 318, 1196, 1198)",59
"(110, 356, 858, 1210)",59
"(47, 50, 260, 296, 1196, 2571)",59
"(47, 296, 318, 1198, 2571)",59
"(47, 296, 593, 1198, 2571)",59
"(593, 608, 858, 2858)",59
"(608, 858, 2571, 2858)",59
"(32, 47, 110)",59
"(1, 260, 1210, 2571, 2762)",59
"(1, 260, 589, 1210, 2762)",59
"(589, 593, 1210, 2571, 2762)",59
"(1, 356, 1210, 2762)",59
"(356, 593, 1196, 1210, 2762)",59
"(260, 589, 780, 1240, 2571)",59
"(780, 1196, 1240, 2571)",59
"(260, 780, 1196, 1240, 2571)",59
"(318, 593, 6377)",59
"(608, 858, 1196, 1198)",59
"(110, 296, 780)",59
"(110, 780, 1196)",59
"(110, 260, 780, 1196)",59
"(47, 50, 296, 593, 1196)",59
"(47, 50, 593, 1196, 2571)",59
"(356, 1198, 1210, 2858)",59
"(260, 356, 1198, 1210, 2858)",59
"(260, 1196, 1200, 1240, 2571)",59
"(589, 1196, 1200, 1240, 2571)",59
"(356, 593, 597)",59
"(1136, 1193)",59
"(318, 589, 1210, 2762)",59
"(296, 589, 593, 1210, 2762)",59
"(296, 318, 597)",59
"(47, 260, 296, 318, 1198)",59
"(47, 260, 356, 1198, 2571)",59
"(1196, 1265, 4306)",59
"(32, 589, 1196, 1240, 2571)",59
"(32, 1198, 1240)",59
"(110, 260, 1196, 1198, 1210, 2571)",59
"(110, 260, 356, 1196, 1198, 1210)",59
"(47, 110, 260, 1196, 1210)",59
"(1196, 1210, 1291, 2571, 2716)",59
"(260, 1196, 1210, 1291, 2571, 2716)",59
"(110, 260, 592)",59
"(110, 1198, 1210, 2571)",59
"(1265, 4993)",59
"(165, 597)",59
"(296, 356, 1210, 2571, 2762)",59
"(1036, 1198, 1291, 2115)",59
"(47, 296, 2571, 2762, 2858)",59
"(47, 296, 1210, 2858)",59
"(4306, 4886, 4963)",59
"(110, 260, 356, 1198, 1210)",59
"(110, 1196, 1198, 1210, 2571)",59
"(110, 356, 1196, 1198, 1210)",59
"(296, 318, 608, 4226)",59
"(296, 593, 608, 4226)",59
"(318, 608, 2571, 4226)",59
"(296, 608, 2571, 4226)",59
"(260, 608, 4226)",59
"(260, 589, 1196, 2762, 2858)",59
"(50, 593, 2762, 2858)",59
"(296, 318, 356, 1221)",59
"(296, 356, 593, 1221)",59
"(260, 318, 2762, 2858)",59
"(1200, 1210, 1240, 2571)",59
"(356, 1265, 2571, 4306)",59
"(47, 50, 296, 527, 593)",59
"(1, 47, 50)",59
"(260, 318, 1196, 1200)",59
"(260, 296, 1196, 1200, 2571)",59
"(32, 1210, 1240, 2571)",59
"(32, 1196, 1210, 1240, 2571)",59
"(589, 593, 2762, 2858)",59
"(260, 296, 318, 593, 1221)",59
"(1136, 1270, 1291)",59
"(260, 356, 593, 1221)",59
"(296, 318, 593, 1221, 2571)",59
"(356, 1196, 2762, 2858)",59
"(110, 356, 1198, 1210)",59
"(110, 260, 1198, 1210, 2571)",59
"(356, 4963, 8961)",59
"(608, 1210, 2762)",59
"(296, 8360)",59
"(47, 50, 260, 318, 2571)",59
"(47, 50, 318, 589, 593)",59
"(593, 1196, 1200, 2571)",59
"(318, 527, 1221)",59
"(296, 527, 1221)",59
"(260, 527, 1221)",59
"(150, 318, 356, 527)",59
"(356, 5349, 5445)",59
"(1196, 1200, 1210, 1240, 2571)",59
"(589, 1265, 2762)",59
"(1214, 2716)",59
"(356, 4886, 4963)",59
"(260, 318, 2571, 58559)",59
"(318, 1196, 58559)",59
"(110, 356, 589, 1196, 1210, 2571)",59
"(1, 1270, 2716)",59
"(47, 296, 2571, 58559)",59
"(318, 2858, 58559)",59
"(260, 1210, 58559)",59
"(1, 110, 296, 1210)",59
"(1, 110, 1210, 2571)",59
"(318, 356, 8360)",59
"(47, 50, 318, 356, 2571)",59
"(260, 296, 318, 1196, 1221)",59
"(260, 1136, 1196, 1198, 1270)",59
"(318, 593, 2571, 2762, 2858)",59
"(296, 356, 2571, 2762, 2858)",59
"(260, 1214, 2115)",59
"(47, 589, 1196, 2762)",59
"(47, 1198, 2571, 2762)",59
"(110, 593, 1196, 1210, 2571)",59
"(356, 589, 595)",59
"(2571, 4963, 4993)",59
"(260, 1196, 1210, 58559)",59
"(296, 858, 58559)",59
"(2571, 4993, 58559)",59
"(110, 260, 356, 589, 1210, 2571)",59
"(260, 589, 1196, 1200, 1210, 1240)",59
"(260, 858, 1265, 2571)",59
"(47, 260, 589, 2762)",59
"(47, 296, 1196, 2762)",59
"(1214, 1291, 2115)",59
"(47, 296, 356, 593, 2762)",59
"(47, 260, 593, 2762)",59
"(1, 1221)",59
"(296, 318, 1196, 1221)",59
"(260, 296, 858, 1240)",59
"(1, 589, 595)",59
"(260, 595, 1196)",59
"(858, 1196, 1240, 2571)",59
"(260, 858, 1196, 1240, 2571)",59
"(858, 1198, 1240)",59
"(858, 1210, 1240, 2571)",59
"(1136, 1196, 1198, 1270)",59
"(50, 150, 589)",59
"(47, 150, 356)",59
"(150, 593, 1196)",59
"(1, 150, 260, 1196)",59
"(110, 296, 318, 356, 1210)",59
"(318, 593, 595)",59
"(589, 593, 595)",59
"(110, 260, 296, 593, 1210)",59
"(150, 296, 595)",59
"(32, 1210, 1265)",59
"(356, 588, 1265)",59
"(110, 318, 2858)",59
"(110, 593, 2858)",59
"(110, 318, 593, 1210)",59
"(47, 110, 260, 356)",59
"(1270, 1291, 2716)",59
"(260, 296, 858, 1265)",59
"(50, 260, 296, 318, 1221)",59
"(50, 260, 296, 593, 1221)",59
"(50, 260, 296, 1221, 2571)",59
"(589, 1196, 1198, 2571, 2762)",59
"(1, 260, 1198, 2762)",59
"(50, 296, 318, 593, 1221)",59
"(356, 1198, 1270, 2115)",59
"(356, 2762, 4963)",59
"(47, 110, 527)",59
"(260, 1196, 1210, 2571, 4963)",59
"(47, 110, 1196, 2571)",59
"(110, 260, 356, 1196, 1198)",59
"(296, 356, 2571, 2959)",59
"(260, 296, 593, 2959)",59
"(260, 593, 2571, 2959)",59
"(260, 296, 1198, 2571, 2762)",59
"(260, 589, 1198, 2571, 2762)",59
"(356, 1196, 1198, 1221)",59
"(260, 1196, 1198, 1221, 2571)",59
"(150, 318, 1210)",59
"(150, 260, 356, 1210)",59
"(1, 150, 260, 1210)",59
"(150, 356, 1196, 1210)",59
"(1, 150, 1196, 1210)",59
"(47, 296, 318, 356, 1196, 2571)",59
"(47, 356, 593, 1196, 2571)",59
"(296, 1259)",59
"(32, 356, 1265)",59
"(260, 356, 1196, 1198, 1221)",59
"(296, 356, 1198, 2762)",59
"(260, 296, 593, 1198, 2762)",59
"(110, 589, 1198)",59
"(1265, 2571, 2716)",59
"(296, 527, 2959)",59
"(110, 356, 1196, 1198)",59
"(50, 110, 296, 356, 2571)",59
"(47, 260, 356, 589, 1196)",59
"(47, 260, 296, 318, 593, 1196, 2571)",59
"(1, 4306, 8360)",59
"(47, 318, 589, 1196)",59
"(318, 1196, 4963)",59
"(110, 589, 593, 1196)",59
"(110, 296, 589, 1196, 2571)",59
"(110, 260, 296, 589, 1196)",59
"(318, 593, 1200)",59
"(1, 47, 296, 593)",59
"(1, 47, 356, 2571)",59
"(260, 1196, 1210, 1265, 2858)",59
"(1, 110, 1196, 2571)",59
"(1, 110, 356, 1196)",59
"(260, 1210, 2571, 2959)",59
"(1, 4963)",59
"(50, 110, 296, 593)",59
"(47, 296, 2571, 2959)",59
"(50, 110, 1196)",59
"(593, 1240, 2571, 2762)",59
"(260, 1136, 1196, 1210, 1214)",59
"(1196, 2959, 4993)",59
"(260, 1196, 2959, 4993)",59
"(2959, 4226, 4993)",59
"(260, 356, 589, 1240, 2762)",59
"(47, 296, 356, 527, 593)",59
"(47, 296, 527, 589)",59
"(593, 1196, 1240, 2762)",59
"(356, 1196, 1240, 2571, 2762)",59
"(1, 260, 589, 1196, 2762)",59
"(1196, 1221, 2858)",59
"(260, 1196, 1221, 2858)",59
"(50, 1221, 2571, 2858)",59
"(541, 1196, 1200)",59
"(318, 356, 592, 593)",59
"(4306, 4886, 5349)",59
"(296, 356, 1197, 2571)",59
"(260, 541, 1196, 1210, 1240)",59
"(260, 296, 1196, 1240, 2762)",59
"(296, 589, 1196, 1240, 2762)",59
"(356, 4306, 4995)",59
"(296, 356, 2571, 4963)",59
"(589, 1240, 2571, 2716)",59
"(47, 1221, 2858)",59
"(318, 1210, 1221)",59
"(296, 1210, 1221, 2571)",59
"(1136, 1210, 1214)",59
"(260, 1136, 1210, 1214)",59
"(356, 1210, 1221, 2571)",59
"(1196, 1198, 1270, 1291, 2115)",59
"(356, 1221, 2858)",59
"(1136, 1196, 1210, 1214)",59
"(260, 589, 1197, 1198)",59
"(318, 1196, 1197, 1198)",59
"(47, 1240, 2762)",59
"(260, 296, 318, 1196, 1197)",59
"(1, 110, 296, 2571)",59
"(1198, 1240, 2716)",59
"(1, 110, 260, 356)",59
"(593, 1196, 1210, 1221)",59
"(260, 593, 1196, 1210, 1221)",59
"(296, 589, 593, 1196, 2571, 2762)",59
"(50, 1196, 1210, 1265)",59
"(356, 4886, 5349)",59
"(318, 356, 589, 592)",59
"(356, 589, 592, 593)",59
"(593, 1196, 1197, 2571)",59
"(260, 593, 1197, 2571)",59
"(593, 1089, 1208)",59
"(260, 589, 1196, 1197, 1198)",59
"(110, 296, 589, 593, 2571)",59
"(260, 296, 356, 1197, 1210)",59
"(260, 318, 589, 1196, 2762)",59
"(260, 1198, 1270, 1291, 2115)",59
"(1198, 1210, 1270, 1291, 2115)",59
"(260, 1198, 1210, 1270, 1291, 2115)",59
"(1196, 1198, 1210, 1270, 1291, 2115)",59
"(296, 593, 1197, 1198)",59
"(296, 1197, 1198, 2571)",59
"(296, 356, 1197, 1198)",59
"(47, 260, 296, 318, 589)",59
"(47, 260, 356, 589, 2571)",59
"(260, 356, 1210, 1240, 2762)",59
"(110, 260, 296, 356, 589)",59
"(1, 356, 592)",59
"(296, 356, 1196, 1197, 1210)",59
"(296, 1197, 1210, 2571)",59
"(260, 589, 1210, 1240, 2571, 2762)",59
"(608, 750)",59
"(47, 296, 356, 589, 593)",59
"(47, 296, 356, 589, 2571)",59
"(260, 1198, 1210, 1221, 2571)",59
"(296, 356, 593, 1196, 2762)",59
"(260, 1196, 1198, 1210, 1270, 1291, 2115)",59
"(260, 1196, 1198, 1270, 1291, 2115)",59
"(110, 318, 356, 593, 2571)",59
"(1240, 1291, 2716)",59
"(110, 260, 296, 356, 593)",59
"(260, 318, 1196, 1197, 1210)",59
"(260, 356, 1196, 1197, 1210, 2571)",59
"(1, 1196, 1197, 1198, 1210)",59
"(1, 260, 1196, 1197, 1198, 1210)",59
"(47, 1197, 1210)",59
"(47, 260, 1197, 1210)",59
"(260, 608, 1196, 1208)",59
"(260, 592, 1196, 1197)",59
"(592, 1197, 1210)",59
"(1, 296, 356, 2762)",59
"(1, 260, 296, 2762)",59
"(1, 260, 356, 2762)",59
"(1, 589, 2571, 2762)",59
"(1, 296, 593, 2762)",59
"(593, 1136, 1214)",59
"(1, 260, 356, 1196, 1210, 1265)",59
"(296, 589, 592, 1196)",59
"(589, 592, 593, 1196)",59
"(260, 1196, 1208, 1210)",59
"(32, 1208)",59
"(2762, 79132)",59
"(2571, 4226, 79132)",59
"(50, 260, 592, 1196)",59
"(260, 593, 858, 1221, 2571)",59
"(589, 858, 1221, 2571)",59
"(1, 858, 1221)",59
"(296, 858, 1197)",59
"(296, 2571, 58559, 79132)",59
"(260, 58559, 79132)",59
"(260, 356, 1196, 1210, 1240, 2762)",59
"(260, 589, 1196, 1210, 1240, 2571, 2762)",59
"(21, 318)",59
"(858, 1240, 2762)",59
"(593, 608, 1208)",59
"(648, 1210, 1240)",59
"(296, 2683)",59
"(593, 608, 1240)",59
"(589, 608, 1240, 2571)",59
"(356, 527, 593, 2762)",59
"(356, 1265, 2115)",59
"(260, 296, 589, 593, 2571, 2762)",59
"(1, 296, 1196, 1210, 1265)",59
"(50, 318, 589, 592)",59
"(344, 590)",59
"(1214, 1270, 1291)",59
"(296, 593, 608, 1197)",59
"(260, 318, 608, 1197)",59
"(593, 858, 1208)",59
"(356, 858, 1197)",59
"(260, 858, 1197, 1198)",59
"(260, 1196, 1210, 2683)",59
"(50, 260, 1208)",59
"(608, 1196, 1197, 1198, 1210)",59
"(260, 608, 1196, 1197, 1198, 1210)",59
"(260, 296, 608, 1197, 1198)",59
"(589, 608, 1196, 1240)",59
"(608, 1210, 1240, 2571)",59
"(260, 1196, 1240, 2115, 2571)",59
"(260, 356, 593, 1136)",59
"(260, 318, 356, 1196, 1210, 1265)",59
"(1291, 5349)",59
"(296, 592, 1196, 1198)",59
"(260, 593, 1136, 2571)",59
"(260, 318, 356, 1136)",59
"(260, 608, 1197, 2571)",59
"(47, 1208)",59
"(858, 1196, 1210, 1270, 1291)",59
"(260, 858, 1196, 1210, 1270, 1291)",59
"(296, 1196, 1198, 1210, 1270, 1291)",59
"(480, 1196, 1210)",59
"(50, 296, 356, 858, 1221)",59
"(50, 260, 318, 858, 1221)",59
"(1196, 1198, 1240, 2115)",59
"(1210, 1240, 2115, 2571)",59
"(260, 1210, 1240, 2115, 2571)",59
"(50, 260, 356, 858, 1221)",59
"(296, 356, 593, 1036)",59
"(480, 1196)",59
"(260, 858, 1196, 1270, 1291)",59
"(260, 593, 1196, 1208)",59
"(1197, 1240, 2571)",59
"(1196, 1210, 2683)",59
"(260, 858, 1270, 1291)",59
"(858, 1196, 1270, 1291)",59
"(260, 356, 589, 1036)",59
"(1, 589, 1036)",59
"(318, 589, 1036)",59
"(47, 296, 589, 592, 593)",59
"(47, 592, 1196)",59
"(1196, 1210, 1240, 2115, 2571)",59
"(32, 593, 858)",59
"(588, 858)",59
"(50, 318, 593, 858, 1221)",59
"(480, 1198)",59
"(356, 1208, 2571)",59
"(260, 356, 1208)",59
"(858, 1210, 1270, 1291)",59
"(260, 858, 1210, 1270, 1291)",59
"(260, 733, 1196, 1210)",59
"(296, 356, 1036, 1196, 2571)",59
"(260, 356, 1036, 1240)",59
"(260, 589, 1036, 1240, 2571)",59
"(50, 260, 593, 1198, 2571)",59
"(50, 260, 356, 1198, 2571)",59
"(260, 589, 1196, 1210, 1240, 2115)",59
"(318, 780, 858)",59
"(296, 780, 858)",59
"(589, 1210, 1240, 2115)",59
"(260, 589, 1210, 1240, 2115)",59
"(318, 858, 1221, 2858)",59
"(296, 1198, 1210, 1270, 1291)",59
"(260, 296, 1198, 1210, 1270, 1291)",59
"(296, 1036, 1240, 2571)",59
"(260, 296, 1196, 1198, 1210, 1270, 1291)",59
"(1, 592, 1210)",59
"(1, 260, 592, 1210)",59
"(260, 356, 1036, 1196, 1240)",59
"(260, 589, 1210, 1270, 1291, 2571)",59
"(260, 296, 356, 1036, 1196, 2571)",59
"(2571, 5445, 6874)",59
"(260, 296, 858, 1221, 2858)",59
"(260, 858, 1210, 2571, 2858)",59
"(260, 592, 858, 1196)",59
"(260, 1196, 1210, 1240, 2115, 2571)",59
"(589, 1196, 1210, 1240, 2115)",59
"(50, 260, 858, 1198, 1221)",59
"(260, 296, 1036, 1240)",59
"(260, 593, 1036, 1196, 2571)",59
"(296, 733)",59
"(589, 1196, 1210, 1270, 1291, 2571)",59
"(260, 593, 858, 1210, 1221)",59
"(260, 589, 858, 1210, 1221)",59
"(260, 296, 1036, 1198, 2571)",59
"(260, 589, 1036, 1198, 2571)",59
"(5445, 6874)",59
"(50, 1036, 2571)",59
"(593, 1036, 1198)",59
"(47, 296, 1036, 2571)",59
"(47, 356, 1036, 2571)",59
"(50, 858, 1198, 1210)",59
"(50, 260, 858, 1198, 1210)",59
"(47, 296, 858, 1210)",59
"(296, 593, 1196, 1210, 1265)",59
"(150, 296, 589, 592)",59
"(150, 589, 592, 593)",59
"(356, 4993, 5349)",59
"(318, 1221, 4226)",59
"(318, 608, 1221)",59
"(1, 1036, 1196, 1198)",59
"(2571, 5445, 8961)",59
"(356, 1210, 1270, 1291, 2571)",59
"(50, 296, 593, 1198, 2571)",59
"(50, 356, 593, 1198)",59
"(50, 296, 356, 1198, 2571)",59
"(541, 1089, 1196)",59
"(47, 260, 296, 858, 1210)",59
"(47, 296, 858, 1196, 1210)",59
"(47, 260, 296, 858, 1196, 1210)",59
"(296, 858, 1210, 2858)",59
"(50, 858, 1196, 1210, 1221)",59
"(50, 260, 858, 1196, 1210, 1221)",59
"(50, 260, 858, 1221, 2858)",59
"(589, 1036, 1210, 1240, 2571)",59
"(110, 541)",59
"(260, 296, 1198, 1270, 1291)",59
"(296, 1196, 1198, 1270, 1291)",59
"(296, 593, 1036, 1210)",59
"(260, 356, 1196, 33794)",59
"(260, 296, 1196, 1198, 1270, 1291)",59
"(260, 593, 1036, 1210, 2571)",59
"(1196, 4306, 5349)",59
"(1, 260, 296, 1210, 1265)",59
"(1, 1136, 1291)",59
"(318, 858, 1196, 1198, 1210)",59
"(260, 1240, 1291, 2115)",59
"(589, 1240, 1291, 2115)",59
"(260, 1196, 1240, 1291, 2115)",59
"(260, 318, 858, 1196, 1198, 1210)",59
"(356, 2324)",59
"(1, 1270, 1291, 2571)",59
"(260, 356, 589, 1036, 1210)",59
"(296, 318, 1036, 1196, 1210)",59
"(593, 1036, 1196, 1210, 2571)",59
"(589, 1196, 1270, 1291, 2571)",59
"(260, 356, 1036, 1196, 1210, 1240)",59
"(4226, 4973)",59
"(260, 356, 589, 1196, 1198, 2571)",59
"(50, 296, 608, 1221)",59
"(608, 1210, 1221)",59
"(260, 318, 356, 780)",59
"(356, 589, 1036, 1210)",59
"(260, 296, 593, 1036, 1210)",59
"(356, 1198, 1270, 1291, 2571)",59
"(260, 356, 1036, 1210, 1240)",59
"(527, 593, 780)",59
"(318, 589, 1196, 1198)",59
"(356, 589, 1196, 1198, 2571)",59
"(260, 296, 356, 1036, 1196, 1210, 2571)",59
"(296, 356, 1036, 1196, 1210, 2571)",59
"(260, 296, 318, 1036, 1196, 1210)",59
"(1, 296, 1270, 1291)",59
"(50, 1036, 1196, 1210)",59
"(50, 260, 1036, 1196, 1210)",59
"(356, 2762, 5349)",59
"(260, 318, 589, 780)",59
"(356, 608, 858, 1221)",59
"(608, 858, 1196, 1221)",59
"(260, 608, 858, 1196, 1221)",59
"(260, 1036, 1221)",59
"(1198, 1240, 1291, 2115)",59
"(1036, 1210, 2571, 2858)",59
"(47, 2571, 33794)",59
"(260, 589, 1270, 1291, 2571)",59
"(1196, 1198, 2571, 33794)",59
"(260, 296, 1240, 1291)",59
"(296, 1220)",59
"(1, 260, 1240, 1291)",59
"(260, 296, 858, 1198, 1210, 2571)",59
"(589, 858, 1198, 1210)",59
"(260, 589, 858, 1198, 1210)",59
"(50, 858, 1196, 1210, 2571)",59
"(50, 260, 858, 1196, 1210, 2571)",59
"(296, 858, 1198, 1210, 2571)",59
"(318, 593, 1136, 1196)",59
"(593, 1136, 1196, 2571)",59
"(260, 296, 589, 780, 2571)",59
"(260, 1036, 1210, 2571, 2858)",59
"(110, 5445)",59
"(356, 1036, 1270, 2571)",59
"(356, 1196, 1210, 33794)",59
"(589, 1036, 1270)",59
"(260, 858, 1198, 1221, 1291)",59
"(858, 1196, 1198, 1221, 1291)",59
"(260, 296, 593, 1210, 1265)",59
"(593, 780, 1196, 2571)",59
"(1, 296, 780, 2571)",59
"(1, 356, 780, 2571)",59
"(356, 1196, 1240, 1291)",59
"(296, 1036, 1196, 1198, 1210)",59
"(260, 296, 1036, 1196, 1198, 1210)",59
"(260, 589, 1036, 1196, 1198, 1210)",59
"(47, 1036, 1210, 2571)",59
"(32, 1036, 1196)",59
"(588, 1036)",59
"(296, 858, 1036, 2571)",59
"(260, 296, 858, 1036)",59
"(858, 1198, 1210, 1221, 1291)",59
"(110, 858, 1221)",59
"(260, 1136, 1196, 1197, 1210)",59
"(260, 1196, 1198, 1221, 1291)",59
"(260, 1198, 1210, 1221, 1291)",59
"(1196, 1198, 1210, 1221, 1291)",59
"(260, 356, 1210, 33794)",59
"(47, 260, 1036, 1210, 2571)",59
"(1, 1196, 1240, 1291)",59
"(541, 1214, 2571)",59
"(1136, 1220)",59
"(2396, 2571)",59
"(260, 296, 1089, 1221)",59
"(593, 1210, 1265, 2571)",59
"(260, 1196, 1198, 1240, 1291, 2571)",59
"(1, 260, 296, 318, 1198)",59
"(1, 589, 1198, 2571)",59
"(1, 318, 1198, 2571)",59
"(1, 593, 1198, 2571)",59
"(260, 296, 356, 780, 1196)",59
"(296, 858, 1193, 1221)",59
"(296, 318, 1089, 1221)",59
"(296, 593, 1089, 1221)",59
"(592, 1036, 1210)",59
"(296, 780, 1036)",59
"(260, 780, 1036, 1196)",59
"(780, 1036, 1196, 1210)",59
"(32, 260, 1036)",59
"(1, 296, 356, 1198, 2571)",59
"(260, 608, 1198, 1210, 1270)",59
"(1197, 1270, 2571)",59
"(1, 1197, 1270)",59
"(648, 1210, 1270)",59
"(260, 648, 1210, 1270)",59
"(356, 4306, 33794)",59
"(608, 1198, 1210, 1270)",59
"(296, 1089, 1221, 2571)",59
"(356, 1089, 1221)",59
"(356, 589, 858, 1196, 1210)",59
"(260, 356, 589, 858, 1196, 1210)",59
"(1, 356, 858, 1196, 1210)",59
"(1, 260, 356, 858, 1196, 1210)",59
"(260, 1136, 1197, 1198)",59
"(1136, 1196, 1197, 1198)",59
"(1, 1196, 1210, 1240, 1291)",59
"(377, 1196, 1210)",59
"(260, 296, 589, 593, 1198)",59
"(260, 296, 318, 356, 858, 1196, 1210)",59
"(858, 1089, 1221, 2571)",59
"(589, 780, 1198, 2571)",59
"(260, 589, 780, 1196, 1198)",59
"(318, 858, 33794)",59
"(589, 858, 1036)",59
"(296, 858, 1036, 1196)",59
"(296, 1210, 1240, 1291)",59
"(356, 1210, 1240, 1291)",59
"(260, 296, 527, 1198)",59
"(1, 1210, 1240, 1291)",59
"(296, 1196, 1210, 1240, 1291)",59
"(356, 1196, 1210, 1240, 1291)",59
"(541, 608, 1198)",59
"(296, 1214, 1240)",59
"(1, 260, 1270, 4306)",59
"(1196, 1270, 2571, 4306)",59
"(1136, 2115)",59
"(296, 318, 356, 858, 1196, 1210)",59
"(1, 260, 858, 1210, 2571)",59
"(296, 318, 2571, 7361)",59
"(593, 1036, 2762)",59
"(356, 1036, 2571, 2762)",59
"(260, 1036, 1196, 2762)",59
"(2571, 4993, 33794)",59
"(260, 356, 1210, 1270, 4306)",59
"(1196, 1210, 1270, 2571, 4306)",59
"(296, 858, 1036, 1210)",59
"(260, 296, 858, 1036, 1210)",59
"(589, 1270, 2571, 2762)",59
"(1196, 1270, 2571, 2762)",59
"(1036, 1210, 2571, 2762)",59
"(260, 1036, 1210, 2762)",59
"(1036, 1196, 1210, 2762)",59
"(260, 1210, 1270, 2571, 2762)",59
"(1196, 1210, 1270, 2571, 2762)",59
"(593, 608, 1036)",59
"(260, 608, 1036, 2571)",59
"(260, 296, 589, 1136, 1196)",59
"(318, 356, 2571, 7361)",59
"(260, 356, 589, 858, 1210)",59
"(1, 858, 1210, 2571)",59
"(1196, 2571, 7361)",59
"(608, 1089, 1221)",59
"(1221, 2329)",59
"(1196, 1198, 1214, 1240)",59
"(1, 2797)",59
"(858, 1196, 1198, 1210, 1270)",59
"(260, 858, 1196, 1198, 1210, 1270)",59
"(296, 1270, 2762)",59
"(356, 1270, 2571, 2762)",59
"(260, 648, 1036, 1210)",59
"(2571, 2797)",59
"(260, 296, 318, 593, 1198, 2571)",59
"(260, 318, 356, 593, 1198)",59
"(260, 1196, 2115, 2716)",59
"(260, 318, 356, 858, 1210, 2571)",59
"(356, 1265, 2571, 2858)",59
"(260, 1265, 2571, 2858)",59
"(260, 608, 1036, 1196, 2571)",59
"(608, 1036, 1198)",59
"(260, 1196, 1210, 1214, 1240, 2571)",59
